WOT-DATA,2
{{ID}},AnyGun,TopGun
{{EN}},"Contains ""*"" for tanks which have access to a gun with a drum.","Contains ""*"" for tanks whose top gun has a drum."
{{RU}},"Содержит ""*"" для танков, имеющих доступ к пушке с барабаном.","Содержит ""*"" для танков, чья топовая пушка имеет барабан."
china-Ch07_Vickers_MkE_Type_BT26,*,*,#1074
czech-Cz02_TVP_T50,*,*,#1074
czech-Cz04_T50_51,*,*,#1074
czech-Cz08_T_25,*,*,#1074
czech-Cz10_LT_vz38,*,*,#1074
france-F01_RenaultFT,*,*,#1074
france-F02_D1,*,,#1074
france-F08_AMX_50_100,*,*,#1074
france-F08_AMX_50_100_IGR,*,*,#1074
france-F09_AMX_50_120,*,*,#1074
france-F10_AMX_50B,*,*,#1074
france-F10_AMX_50B_fallout,*,*,#1074
france-F106_Panhard_EBR_75_Mle1954,*,*,#1074
france-F15_AMX_12t,*,*,#1074
france-F16_AMX_13_75,*,*,#1074
france-F17_AMX_13_90,*,*,#1074
france-F17_AMX_13_90_IGR,*,*,#1074
france-F18_Bat_Chatillon25t,*,*,#1074
france-F18_Bat_Chatillon25t_IGR,*,*,#1074
france-F19_Lorraine40t,*,*,#1074
france-F30_RenaultFT_AC,*,,#1074
france-F36_AMX_AC_Mle1948,*,*,#1074
france-F37_AMX50_Foch,*,*,#1074
france-F38_Bat_Chatillon155_58,*,*,#1074
france-F64_AMX_50Fosh_155,*,*,#1074
france-F64_AMX_50Fosh_B,*,*,#1074
france-F69_AMX13_57_100,*,*,#1074
france-F69_AMX13_57_100_GrandFinal,*,*,#1074
france-F75_Char_de_25t,*,*,#1074
france-F84_Somua_SM,*,*,#1074
france-F87_Batignolles-Chatillon_12t,*,*,#1074
france-F88_AMX_13_105,*,*,#1074
france-F97_ELC_EVEN_90,*,*,#1074
germany-G06_PzII,*,*,#1074
germany-G06_PzII_bot,*,*,#1074
germany-G07_Pz35t,*,*,#1074
germany-G08_Pz38t,*,,#1074
germany-G10_PzIII_AusfJ,*,,#1074
germany-G102_Pz_III,*,,#1074
germany-G108_PzKpfwII_AusfD,*,*,#1074
germany-G12_Ltraktor,*,*,#1074
germany-G25_PzII_Luchs,*,*,#1074
germany-G26_VK1602,*,,#1074
germany-G36_PzII_J,*,*,#1074
germany-G52_Pz38_NA,*,,#1074
germany-G53_PzI,*,*,#1074
germany-G63_PzI_ausf_C,*,*,#1074
germany-G82_Pz_II_AusfG,*,*,#1074
germany-G98_Waffentrager_E100,*,*,#1074
germany-G98_Waffentrager_E100_P,*,*,#1074
italy-It05_Carro_L6_40,*,*,#1074
italy-It08_Progetto_M40_mod_65,*,*,#1074
italy-It12_Prototipo_Standard_B,*,*,#1074
italy-It13_Progetto_M35_mod_46,*,*,#1074
italy-It14_P44_Pantera,*,*,#1074
japan-J01_NC27,*,,#1074
japan-J11_Chi_Ri,*,*,#1074
japan-J11_Chi_Ri_IGR,*,*,#1074
japan-J15_Chi_Ni,*,,#1074
poland-Pl01_TKS_20mm,*,*,#1074
poland-Pl07_14TP,*,,#1074
poland-Pl12_25TP_KSUST_II,*,,#1074
poland-Pl14_4TP,*,,#1074
sweden-S01_Strv_74_A2,*,*,#1074
sweden-S03_Strv_M38,*,,#1074
sweden-S05_Strv_M21_29,*,*,#1074
sweden-S09_L_120_TD,*,,#1074
sweden-S15_L_60,*,*,#1074
sweden-S16_Kranvagn,*,*,#1074
sweden-S17_EMIL_1952_E2,*,*,#1074
sweden-S18_EMIL_1951_E1,*,*,#1074
sweden-S25_EMIL_51,*,*,#1074
uk-GB03_Cruiser_Mk_I,*,*,#1074
uk-GB14_M2,*,,#1074
uk-GB58_Cruiser_Mk_III,*,*,#1074
uk-GB59_Cruiser_Mk_IV,*,*,#1074
uk-GB60_Covenanter,*,,#1074
uk-GB69_Cruiser_Mk_II,*,,#1074
uk-GB75_AT7,*,,#1074
uk-GB76_Mk_VIC,*,*,#1074
usa-A01_T1_Cunningham,*,*,#1074
usa-A02_M2_lt,*,*,#1074
usa-A03_M3_Stuart,*,,#1074
usa-A03_M3_Stuart_bootcamp,*,*,#1074
usa-A08_T23,*,*,#1074
usa-A103_T71E1,*,*,#1074
usa-A103_T71E1_IGR,*,*,#1074
usa-A15_T57,*,*,#1074
usa-A19_T2_lt,*,*,#1074
usa-A22_M5_Stuart,*,*,#1074
usa-A24_T2_med,*,*,#1074
usa-A24_T2_med_bot,*,*,#1074
usa-A26_T18,*,*,#1074
usa-A33_MTLS-1G14,*,*,#1074
usa-A67_T57_58,*,*,#1074
usa-A74_T1_E6,*,*,#1074
usa-A89_T54E1,*,*,#1074
usa-A90_T69,*,*,#1074
usa-A90_T69_IGR,*,*,#1074
usa-A93_T7_Combat_Car,*,*,#1074
ussr-R03_BT-7,*,,#1074
ussr-R08_BT-2,*,,#1074
ussr-R115_IS-3_auto,*,*,#1074
ussr-R115_IS-3_auto_test,*,*,#1074
ussr-R12_A-20,*,*,#1074
ussr-R22_T-46,*,*,#1074
ussr-R42_T-60,*,,#1074
ussr-R44_T80,*,*,#1074
